record_index,site,file_offset,target,target_internal
1,23623,0x0000DCA7,17638,True
1,17644,0x0000C54C,63716,True
1,17652,0x0000C554,63906,True
1,17660,0x0000C55C,62030,True
1,17928,0x0000C668,62994,True
1,18507,0x0000C8AB,24571,True
1,24708,0x0000E0E4,2304,True
1,24747,0x0000E10B,1725,True
1,62030,0x000172AE,64053,True
1,62152,0x00017328,57291,True
1,57328,0x00016050,2674,True
1,62115,0x00017303,57291,True
1,62120,0x00017308,58031,True
1,21356,0x0000D3CC,1662,True
1,21375,0x0000D3DF,1662,True
1,21378,0x0000D3E2,54180,True
1,21384,0x0000D3E8,2493,True
1,17933,0x0000C66D,63818,True
1,18047,0x0000C6DF,63916,True
1,18218,0x0000C78A,63829,True
1,18362,0x0000C81A,24571,True
1,18371,0x0000C823,63926,True
1,18385,0x0000C831,11325,True
1,18399,0x0000C83F,63302,True
1,18405,0x0000C845,61185,True
1,61185,0x00016F61,63302,True
1,63926,0x00017A16,63302,True
1,17938,0x0000C672,59274,True
1,17969,0x0000C691,28792,True
1,29125,0x0000F225,1788,True
1,29020,0x0000F1BC,1788,True
1,28939,0x0000F16B,1788,True
1,28856,0x0000F118,1788,True
1,63818,0x000179AA,59274,True
1,63906,0x00017A02,64053,True
1,23235,0x0000DB23,17638,True
1,47150,0x0001388E,47481,True
1,33334,0x00010296,34752,True
1,33345,0x000102A1,1947,True
1,33400,0x000102D8,2481,True
1,63227,0x0001775B,11325,True
1,63230,0x0001775E,53977,True
1,63233,0x00017761,46046,True
1,63236,0x00017764,61265,True
1,60028,0x00016ADC,62970,True
1,60039,0x00016AE7,62970,True
1,60050,0x00016AF2,62970,True
1,60061,0x00016AFD,62970,True
1,53988,0x00015344,11325,True
1,34761,0x00010829,1725,True
1,34776,0x00010838,1725,True
1,34794,0x0001084A,11325,True
1,34808,0x00010858,1700,True
1,34840,0x00010878,1700,True
1,34861,0x0001088D,1725,True
1,34894,0x000108AE,1725,True
1,34933,0x000108D5,1725,True
1,34958,0x000108EE,1725,True
1,34968,0x000108F8,1725,True
1,34978,0x00010902,1725,True
1,34988,0x0001090C,1725,True
1,34998,0x00010916,1725,True
1,35008,0x00010920,1725,True
1,35018,0x0001092A,1725,True
1,47521,0x00013A01,2493,True
1,47111,0x00013867,11325,True
1,47094,0x00013856,11325,True
1,40885,0x00012015,47500,True
1,40894,0x0001201E,7101,True
1,40915,0x00012033,60940,True
1,60943,0x00016E6F,2481,True
1,60949,0x00016E75,2493,True
1,41997,0x0001246D,47495,True
1,42090,0x000124CA,47498,True
1,10029,0x0000A78D,2481,True
1,10059,0x0000A7AB,2285,True
1,10083,0x0000A7C3,2285,True
1,10107,0x0000A7DB,2285,True
1,10131,0x0000A7F3,2285,True
1,10410,0x0000A90A,54476,True
1,11214,0x0000AC2E,60934,True
1,54675,0x000155F3,27978,True
1,54698,0x0001560A,47504,True
1,54725,0x00015625,2481,True
1,54742,0x00015636,49974,True
1,54762,0x0001564A,11325,True
1,28239,0x0000EEAF,1700,True
1,28250,0x0000EEBA,1770,True
1,28264,0x0000EEC8,1700,True
1,28371,0x0000EF33,62189,True
1,28275,0x0000EED3,62189,True
1,28319,0x0000EEFF,1700,True
1,28356,0x0000EF24,1700,True
1,28368,0x0000EF30,1770,True
1,28334,0x0000EF0E,62189,True
1,59858,0x00016A32,2481,True
1,59878,0x00016A46,2481,True
1,59904,0x00016A60,2481,True
1,18749,0x0000C99D,56226,True
1,56245,0x00015C15,47504,True
1,56292,0x00015C44,2481,True
1,37300,0x00011214,52103,True
1,52125,0x00014BFD,58921,True
1,52130,0x00014C02,63445,True
1,52235,0x00014C6B,52085,True
1,52091,0x00014BDB,25906,True
1,52289,0x00014CA1,52085,True
1,51450,0x0001495A,1947,True
1,51216,0x00014870,11325,True
1,51221,0x00014875,61021,True
1,51230,0x0001487E,11325,True
1,51850,0x00014AEA,62492,True
1,52261,0x00014C85,52085,True
1,52144,0x00014C10,59392,True
1,52171,0x00014C2B,11325,True
1,52176,0x00014C30,58912,True
1,52181,0x00014C35,63445,True
1,52218,0x00014C5A,58910,True
1,58943,0x0001669F,1770,True
1,52197,0x00014C45,59392,True
1,52213,0x00014C55,58910,True
1,63457,0x00017841,1700,True
1,37541,0x00011305,62189,True
1,37601,0x00011341,11325,True
1,37649,0x00011371,11325,True
1,37652,0x00011374,58102,True
1,37655,0x00011377,58172,True
1,37671,0x00011387,43048,True
1,43194,0x0001291A,63730,True
1,43245,0x0001294D,63155,True
1,43248,0x00012950,62637,True
1,43253,0x00012955,45858,True
1,46015,0x0001341F,25906,True
1,46030,0x0001342E,1822,True
1,46033,0x00013431,60650,True
1,60662,0x00016D56,62189,True
1,60669,0x00016D5D,62189,True
1,62652,0x0001751C,2493,True
1,62657,0x00017521,49279,True
1,58175,0x0001639F,2493,True
1,58179,0x000163A3,8,True
1,58185,0x000163A9,2493,True
1,58208,0x000163C0,1662,True
1,58227,0x000163D3,1662,True
1,58230,0x000163D6,54180,True
1,58105,0x00016359,2493,True
1,37568,0x00011320,62189,True
1,18726,0x0000C986,2835,True
1,2971,0x00008BFB,1770,True
1,3006,0x00008C1E,1770,True
1,3076,0x00008C64,1770,True
1,3111,0x00008C87,1770,True
1,3136,0x00008CA0,63155,True
1,3139,0x00008CA3,22,True
1,3148,0x00008CAC,42184,True
1,3178,0x00008CCA,55876,True
1,3196,0x00008CDC,21009,True
1,3205,0x00008CE5,25482,True
1,3231,0x00008CFF,2268,True
1,3359,0x00008D7F,2493,True
1,3383,0x00008D97,2481,True
1,3404,0x00008DAC,31791,True
1,3678,0x00008EBE,2481,True
1,3698,0x00008ED2,2481,True
1,3704,0x00008ED8,31756,True
1,3756,0x00008F0C,2493,True
1,31770,0x0000FC7A,2481,True
1,3925,0x00008FB5,2481,True
1,3928,0x00008FB8,31733,True
1,3964,0x00008FDC,2481,True
1,31750,0x0000FC66,2481,True
1,3239,0x00008D07,2493,True
1,3249,0x00008D11,2493,True
1,25639,0x0000E487,2493,True
1,25643,0x0000E48B,512,True
1,25660,0x0000E49C,2355,True
1,25666,0x0000E4A2,2481,True
1,25685,0x0000E4B5,1662,True
1,25704,0x0000E4C8,1662,True
1,25707,0x0000E4CB,54180,True
1,25713,0x0000E4D1,2493,True
1,25717,0x0000E4D5,516,True
1,25734,0x0000E4E6,2355,True
1,25740,0x0000E4EC,2481,True
1,25759,0x0000E4FF,1662,True
1,25778,0x0000E512,1662,True
1,25781,0x0000E515,54180,True
1,25787,0x0000E51B,2493,True
1,25797,0x0000E525,2493,True
1,25820,0x0000E53C,1662,True
1,25839,0x0000E54F,1662,True
1,25842,0x0000E552,54180,True
1,25848,0x0000E558,2493,True
1,25852,0x0000E55C,12,True
1,25858,0x0000E562,2493,True
1,25881,0x0000E579,1662,True
1,25900,0x0000E58C,1662,True
1,25519,0x0000E40F,1947,True
1,25543,0x0000E427,2465,True
1,25549,0x0000E42D,2481,True
1,25559,0x0000E437,1947,True
1,25583,0x0000E44F,2465,True
1,25589,0x0000E455,2481,True
1,25608,0x0000E468,1662,True
1,25627,0x0000E47B,1662,True
1,25630,0x0000E47E,54180,True
1,21166,0x0000D30E,2493,True
1,21046,0x0000D296,1947,True
1,21070,0x0000D2AE,2465,True
1,21076,0x0000D2B4,2481,True
1,21086,0x0000D2BE,1947,True
1,21110,0x0000D2D6,2465,True
1,21116,0x0000D2DC,2481,True
1,21135,0x0000D2EF,1662,True
1,21154,0x0000D302,1662,True
1,21157,0x0000D305,54180,True
1,55904,0x00015AC0,2323,True
1,55924,0x00015AD4,2355,True
1,55930,0x00015ADA,2481,True
1,55951,0x00015AEF,39796,True
1,39799,0x00011BD7,2481,True
1,39828,0x00011BF4,2108,True
1,39856,0x00011C10,2108,True
1,39861,0x00011C15,2285,True
1,39943,0x00011C67,2481,True
1,39987,0x00011C93,2481,True
1,39896,0x00011C38,2285,True
1,39900,0x00011C3C,61723,True
1,3198,0x00008CDE,2171,True
1,3041,0x00008C41,1770,True
1,2929,0x00008BD1,11325,True
1,53242,0x0001505A,45858,True
1,63954,0x00017A32,63321,True
1,63957,0x00017A35,62312,True
1,62312,0x000173C8,58380,True
1,62315,0x000173CB,59095,True
1,59095,0x00016737,58380,True
1,59113,0x00016749,2493,True
1,59118,0x0001674E,49279,True
1,59122,0x00016752,43467,True
1,43584,0x00012AA0,829,True
1,43603,0x00012AB3,551,True
1,43613,0x00012ABD,45,True
1,43616,0x00012AC0,891,True
1,102,0x000080C6,946,True
1,43479,0x00012A37,60979,True
1,43483,0x00012A3B,829,True
1,43492,0x00012A44,286,True
1,43502,0x00012A4E,551,True
1,43528,0x00012A68,829,True
1,43547,0x00012A7B,551,True
1,43556,0x00012A84,45,True
1,43559,0x00012A87,891,True
1,60979,0x00016E93,64105,True
1,61010,0x00016EB2,1969,True
1,61014,0x00016EB6,829,True
1,61017,0x00016EB9,891,True
1,4519,0x00009207,2481,True
1,4551,0x00009227,2268,True
1,4576,0x00009240,2481,True
1,6257,0x000098D1,1725,True
1,6308,0x00009904,1725,True
1,6502,0x000099C6,1700,True
1,6514,0x000099D2,1725,True
1,6524,0x000099DC,1725,True
1,6599,0x00009A27,1700,True
1,6614,0x00009A36,1725,True
1,6752,0x00009AC0,1725,True
1,6765,0x00009ACD,1725,True
1,6776,0x00009AD8,1725,True
1,6829,0x00009B0D,1725,True
1,6785,0x00009AE1,1725,True
1,6667,0x00009A6B,1725,True
1,6695,0x00009A87,1725,True
1,6702,0x00009A8E,1725,True
1,6730,0x00009AAA,1788,True
1,6423,0x00009977,1725,True
1,6319,0x0000990F,1725,True
1,6355,0x00009933,1725,True
1,5644,0x0000966C,1725,True
1,7019,0x00009BCB,1725,True
1,7044,0x00009BE4,1725,True
1,7039,0x00009BDF,1725,True
1,6884,0x00009B44,1725,True
1,41534,0x0001229E,41040,True
1,41303,0x000121B7,41040,True
1,59176,0x00016788,41513,True
1,39790,0x00011BCE,57443,True
1,57507,0x00016103,63199,True
1,39675,0x00011B5B,21573,True
1,39756,0x00011BAC,61651,True
1,61681,0x00017151,2674,True
1,39731,0x00011B93,35969,True
1,36286,0x00010E1E,1662,True
1,36289,0x00010E21,63302,True
1,36298,0x00010E2A,61185,True
1,36488,0x00010EE8,62725,True
1,36324,0x00010E44,62282,True
1,36347,0x00010E5B,62725,True
1,21600,0x0000D4C0,1662,True
1,21619,0x0000D4D3,1662,True
1,22489,0x0000D839,1770,True
1,22511,0x0000D84F,1770,True
1,22526,0x0000D85E,1770,True
1,22540,0x0000D86C,27175,True
1,22623,0x0000D8BF,52580,True
1,22637,0x0000D8CD,27568,True
1,27586,0x0000EC22,1725,True
1,27909,0x0000ED65,1770,True
1,27923,0x0000ED73,1700,True
1,27928,0x0000ED78,1770,True
1,27968,0x0000EDA0,1700,True
1,52768,0x00014E80,61863,True
1,52906,0x00014F0A,2674,True
1,52686,0x00014E2E,1700,True
1,61878,0x00017216,61455,True
1,52744,0x00014E68,1840,True
1,22595,0x0000D8A3,27158,True
1,27171,0x0000EA83,1725,True
1,27515,0x0000EBDB,1700,True
1,27521,0x0000EBE1,1700,True
1,27527,0x0000EBE7,1700,True
1,27545,0x0000EBF9,1770,True
1,27561,0x0000EC09,1770,True
1,21505,0x0000D461,1662,True
1,21508,0x0000D464,54180,True
1,21514,0x0000D46A,2493,True
1,33723,0x0001041B,1788,True
1,21929,0x0000D609,1925,True
1,21975,0x0000D637,19235,True
1,21995,0x0000D64B,1925,True
1,22031,0x0000D66F,57291,True
1,19271,0x0000CBA7,1662,True
1,19312,0x0000CBD0,63340,True
1,19343,0x0000CBEF,14568,True
1,19354,0x0000CBFA,62220,True
1,19359,0x0000CBFF,64065,True
1,19364,0x0000CC04,63560,True
1,20284,0x0000CF9C,1770,True
1,20300,0x0000CFAC,1770,True
1,20322,0x0000CFC2,1770,True
1,20337,0x0000CFD1,1770,True
1,20416,0x0000D020,52580,True
1,20430,0x0000D02E,27568,True
1,20388,0x0000D004,27158,True
1,62251,0x0001738B,60449,True
1,62254,0x0001738E,34068,True
1,62268,0x0001739C,52808,True
1,34222,0x0001060E,63086,True
1,34299,0x0001065B,61384,True
1,34304,0x00010660,62189,True
1,34331,0x0001067B,61144,True
1,34342,0x00010686,11325,True
1,34351,0x0001068F,62895,True
1,34356,0x00010694,63608,True
1,34359,0x00010697,63592,True
1,61160,0x00016F48,49382,True
1,34233,0x00010619,11325,True
1,34264,0x00010638,62189,True
1,34382,0x000106AE,11325,True
1,34385,0x000106B1,61931,True
1,61957,0x00017265,58583,True
1,34246,0x00010626,62189,True
1,34211,0x00010603,62189,True
1,34370,0x000106A2,32786,True
1,34086,0x00010586,64121,True
1,34089,0x00010589,63744,True
1,34139,0x000105BB,63608,True
1,34142,0x000105BE,63592,True
1,34145,0x000105C1,54079,True
1,34159,0x000105CF,11325,True
1,34168,0x000105D8,35342,True
1,34171,0x000105DB,62189,True
1,35516,0x00010B1C,11325,True
1,35565,0x00010B4D,11325,True
1,35472,0x00010AF0,11325,True
1,53397,0x000150F5,60650,True
1,53402,0x000150FA,63445,True
1,53522,0x00015172,57291,True
1,53561,0x00015199,59785,True
1,53575,0x000151A7,1700,True
1,53590,0x000151B6,1700,True
1,53600,0x000151C0,1770,True
1,53620,0x000151D4,1700,True
1,53262,0x0001506E,53364,True
1,53370,0x000150DA,62402,True
1,62409,0x00017429,63286,True
1,53555,0x00015193,52917,True
1,52977,0x00014F51,19235,True
1,53471,0x0001513F,53392,True
1,53412,0x00015104,32082,True
1,53417,0x00015109,55786,True
1,55788,0x00015A4C,62372,True
1,55803,0x00015A5B,62372,True
1,55811,0x00015A63,834,True
1,55821,0x00015A6D,286,True
1,55841,0x00015A81,834,True
1,55860,0x00015A94,551,True
1,55869,0x00015A9D,45,True
1,55872,0x00015AA0,891,True
1,62384,0x00017410,1700,True
1,62395,0x0001741B,1700,True
1,32084,0x0000FDB4,63445,True
1,32119,0x0000FDD7,63445,True
1,32132,0x0000FDE4,62372,True
1,32166,0x0000FE06,1840,True
1,32185,0x0000FE19,62372,True
1,32209,0x0000FE31,2268,True
1,32230,0x0000FE46,62372,True
1,32253,0x0000FE5D,2268,True
1,32274,0x0000FE72,63445,True
1,32287,0x0000FE7F,62372,True
1,32407,0x0000FEF7,834,True
1,32418,0x0000FF02,708,True
1,32380,0x0000FEDC,834,True
1,32391,0x0000FEE7,708,True
1,32338,0x0000FEB2,834,True
1,32349,0x0000FEBD,708,True
1,54174,0x000153FE,11325,True
1,34100,0x00010594,11325,True
1,34103,0x00010597,63221,True
1,34111,0x0001059F,50805,True
1,34062,0x0001056E,23627,True
1,24021,0x0000DE35,31381,True
1,31446,0x0000FB36,63340,True
1,31454,0x0000FB3E,8661,True
1,31465,0x0000FB49,62220,True
1,31470,0x0000FB4E,64065,True
1,31475,0x0000FB53,63560,True
1,23745,0x0000DD21,62066,True
1,23757,0x0000DD2D,31381,True
1,23696,0x0000DCF0,62066,True
1,23708,0x0000DCFC,31381,True
1,24089,0x0000DE79,31381,True
1,24043,0x0000DE4B,62062,True
1,24063,0x0000DE5F,31381,True
1,23986,0x0000DE12,62062,True
1,23998,0x0000DE1E,31381,True
1,23925,0x0000DDD5,62062,True
1,23931,0x0000DDDB,64004,True
1,23954,0x0000DDF2,31381,True
1,23847,0x0000DD87,62062,True
1,23881,0x0000DDA9,31381,True
1,23790,0x0000DD4E,62062,True
1,23802,0x0000DD5A,31381,True
1,34047,0x0001055F,57291,True
1,34027,0x0001054B,52917,True
1,34019,0x00010543,19235,True
1,33990,0x00010526,19235,True
1,33961,0x00010509,19235,True
1,33928,0x000104E8,19235,True
1,33895,0x000104C7,19235,True
1,33838,0x0001048E,19235,True
1,33806,0x0001046E,19235,True
1,60455,0x00016C87,64161,True
1,60458,0x00016C8A,64163,True
1,60461,0x00016C8D,64164,True
1,60472,0x00016C98,51603,True
1,60482,0x00016CA2,51603,True
1,60492,0x00016CAC,51603,True
1,19326,0x0000CBDE,51076,True
1,39637,0x00011B35,57291,True
1,13520,0x0000B530,52696,True
1,60915,0x00016E53,1700,True
1,60919,0x00016E57,1700,True
1,60928,0x00016E60,1770,True
2,39950,0x0002174E,49247,True
2,40004,0x00021784,49247,True
2,40018,0x00021792,49247,True
2,40030,0x0002179E,49247,True
2,40062,0x000217BE,33541,True
2,40065,0x000217C1,37338,True
2,40070,0x000217C6,33541,True
2,40073,0x000217C9,37338,True
2,40144,0x00021810,17994,True
2,17999,0x0001C18F,33541,True
2,18038,0x0001C1B6,49165,True
2,18080,0x0001C1E0,10175,True
2,18084,0x0001C1E4,18049,True
2,17977,0x0001C179,48594,True
2,17980,0x0001C17C,20992,True
2,21009,0x0001CD51,10082,True
2,21029,0x0001CD65,10082,True
2,21035,0x0001CD6B,10094,True
2,21052,0x0001CD7C,31117,True
2,21135,0x0001CDCF,49027,True
2,21145,0x0001CDD9,10042,True
2,21155,0x0001CDE3,9972,True
2,21161,0x0001CDE9,10082,True
2,21181,0x0001CDFD,10082,True
2,21204,0x0001CE14,48326,True
2,21224,0x0001CE28,10082,True
2,21230,0x0001CE2E,49014,True
2,21239,0x0001CE37,10042,True
2,21253,0x0001CE45,10070,True
2,21259,0x0001CE4B,48594,True
2,21279,0x0001CE5F,10082,True
2,21285,0x0001CE65,49014,True
2,21301,0x0001CE75,10042,True
2,21440,0x0001CF00,9991,True
2,21460,0x0001CF14,10042,True
2,21313,0x0001CE81,10042,True
2,21324,0x0001CE8C,10082,True
2,21330,0x0001CE92,49014,True
