record_index,address,file_offset,vector_root,direct_call_count,first_opcode
1,0x0000EB18,0x00016B78,False,1,0x90
1,0x0000EC21,0x00016C81,False,1,0x90
1,0x0000ECEA,0x00016D4A,False,2,0x8E
1,0x0000EE06,0x00016E66,False,1,0x7E
1,0x0000EE0C,0x00016E6C,False,1,0x90
1,0x0000EE33,0x00016E93,False,1,0x12
1,0x0000EE5D,0x00016EBD,False,2,0x90
1,0x0000EED8,0x00016F38,False,1,0x90
1,0x0000EF01,0x00016F61,False,2,0x12
1,0x0000EF51,0x00016FB1,False,1,0xE4
1,0x0000EFC8,0x00017028,False,1,0xC2
1,0x0000F00F,0x0001706F,False,1,0x50
1,0x0000F0AE,0x0001710E,False,2,0x7D
1,0x0000F0C4,0x00017124,False,2,0x90
1,0x0000F0D3,0x00017133,False,1,0xC0
1,0x0000F11B,0x0001717B,False,2,0xAE
1,0x0000F1A7,0x00017207,False,1,0xE4
1,0x0000F1C9,0x00017229,False,2,0x90
1,0x0000F1EB,0x0001724B,False,1,0x90
1,0x0000F24E,0x000172AE,False,1,0x12
1,0x0000F26E,0x000172CE,False,5,0x7F
1,0x0000F272,0x000172D2,False,2,0xC0
1,0x0000F2ED,0x0001734D,False,14,0x78
1,0x0000F30C,0x0001736C,False,2,0xC0
1,0x0000F34A,0x000173AA,False,1,0xEF
1,0x0000F368,0x000173C8,False,1,0x12
1,0x0000F3A4,0x00017404,False,6,0x7B
1,0x0000F3C2,0x00017422,False,1,0x90
1,0x0000F41C,0x0001747C,False,1,0xEF
1,0x0000F4AD,0x0001750D,False,1,0x90
1,0x0000F505,0x00017565,False,2,0xED
1,0x0000F5AF,0x0001760F,False,1,0x90
1,0x0000F5FA,0x0001765A,False,5,0xAC
1,0x0000F612,0x00017672,False,1,0x90
1,0x0000F66E,0x000176CE,False,1,0xC2
1,0x0000F6B3,0x00017713,False,2,0x90
1,0x0000F6DF,0x0001773F,False,1,0xC0
1,0x0000F6F5,0x00017755,False,1,0x7B
1,0x0000F71E,0x0001777E,False,1,0xE4
1,0x0000F736,0x00017796,False,1,0x7B
1,0x0000F746,0x000177A6,False,4,0x90
1,0x0000F759,0x000177B9,False,1,0x90
1,0x0000F76C,0x000177CC,False,2,0x90
1,0x0000F791,0x000177F1,False,1,0x12
1,0x0000F7D5,0x00017835,False,6,0x7B
1,0x0000F808,0x00017868,False,1,0x7E
1,0x0000F848,0x000178A8,False,2,0xEF
1,0x0000F858,0x000178B8,False,1,0xEF
1,0x0000F868,0x000178C8,False,2,0xEF
1,0x0000F878,0x000178D8,False,2,0xEF
1,0x0000F8B7,0x00017917,False,1,0x90
1,0x0000F8C6,0x00017926,False,1,0x90
1,0x0000F8E4,0x00017944,False,4,0x90
1,0x0000F8F2,0x00017952,False,1,0xE4
1,0x0000F900,0x00017960,False,1,0x90
1,0x0000F94A,0x000179AA,False,1,0x12
1,0x0000F955,0x000179B5,False,1,0x90
1,0x0000F9A2,0x00017A02,False,1,0x12
1,0x0000F9AC,0x00017A0C,False,1,0x90
1,0x0000F9B6,0x00017A16,False,1,0x12
1,0x0000F9D2,0x00017A32,False,1,0x12
1,0x0000FA04,0x00017A64,False,1,0x90
