site,file_offset,target,target_scope,ida_caller,structural_caller,caller_confidence
0x001381B4,0x001661B4,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x001381CC,0x001661CC,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x001381DC,0x001661DC,0x00130764,main-internal,,0x00137BB0,nearest-candidate
0x001381E8,0x001661E8,0x0013077C,main-internal,,0x00137BB0,nearest-candidate
0x001381F4,0x001661F4,0x0014AD14,main-internal,,0x00137BB0,nearest-candidate
0x00138200,0x00166200,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138214,0x00166214,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138248,0x00166248,0x0013077C,main-internal,,0x00137BB0,nearest-candidate
0x00138254,0x00166254,0x0014AD14,main-internal,,0x00137BB0,nearest-candidate
0x00138260,0x00166260,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138274,0x00166274,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x001382A8,0x001662A8,0x0012D0A8,main-internal,,0x00137BB0,nearest-candidate
0x001382C0,0x001662C0,0x0012D13C,main-internal,,0x00137BB0,nearest-candidate
0x001382CC,0x001662CC,0x0014AD14,main-internal,,0x00137BB0,nearest-candidate
0x001382E0,0x001662E0,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138318,0x00166318,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138348,0x00166348,0x0012CAF4,main-internal,,0x00137BB0,nearest-candidate
0x00138358,0x00166358,0x0012CAF4,main-internal,,0x00137BB0,nearest-candidate
0x0013836C,0x0016636C,0x0012CB58,main-internal,,0x00137BB0,nearest-candidate
0x00138380,0x00166380,0x0012CB58,main-internal,,0x00137BB0,nearest-candidate
0x00138398,0x00166398,0x0012C96C,main-internal,,0x00137BB0,nearest-candidate
0x001383A4,0x001663A4,0x0012CAF4,main-internal,,0x00137BB0,nearest-candidate
0x001383B4,0x001663B4,0x0012CAF4,main-internal,,0x00137BB0,nearest-candidate
0x001383C8,0x001663C8,0x0012CB58,main-internal,,0x00137BB0,nearest-candidate
0x001383DC,0x001663DC,0x0012CB58,main-internal,,0x00137BB0,nearest-candidate
0x001383F4,0x001663F4,0x0012C96C,main-internal,,0x00137BB0,nearest-candidate
0x00138408,0x00166408,0x00130764,main-internal,,0x00137BB0,nearest-candidate
0x00138414,0x00166414,0x0013077C,main-internal,,0x00137BB0,nearest-candidate
0x00138420,0x00166420,0x0014AD14,main-internal,,0x00137BB0,nearest-candidate
0x0013842C,0x0016642C,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x0013843C,0x0016643C,0x0012D518,main-internal,,0x00137BB0,nearest-candidate
0x00138470,0x00166470,0x00130764,main-internal,,0x00137BB0,nearest-candidate
0x0013847C,0x0016647C,0x0013077C,main-internal,,0x00137BB0,nearest-candidate
0x00138488,0x00166488,0x0014AD14,main-internal,,0x00137BB0,nearest-candidate
0x001384AC,0x001664AC,0x0012D7E4,main-internal,,0x001384A0,nearest-candidate
0x001384C0,0x001664C0,0x0014AD14,main-internal,,0x001384A0,nearest-candidate
0x001384CC,0x001664CC,0x0012D7E4,main-internal,,0x001384A0,nearest-candidate
0x00138500,0x00166500,0x0012D7E4,main-internal,,0x001384A0,nearest-candidate
0x00138510,0x00166510,0x0014AD14,main-internal,,0x001384A0,nearest-candidate
0x0013851C,0x0016651C,0x0012D7E4,main-internal,,0x001384A0,nearest-candidate
0x00138564,0x00166564,0x0012D064,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138578,0x00166578,0x0012D064,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x0013858C,0x0016658C,0x0012D064,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x001385C4,0x001665C4,0xA002D04C,external-or-runtime,0x00138558:sub_138558,0x00138558,ida-container
0x001385F4,0x001665F4,0x0014242C,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138604,0x00166604,0x0012D0A8,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138610,0x00166610,0x0012D408,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138628,0x00166628,0x0012D298,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x0013863C,0x0016663C,0x0012D0A8,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138648,0x00166648,0x0012D518,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x0013869C,0x0016669C,0x0012D518,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x001386DC,0x001666DC,0x0012D0A8,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x001386E8,0x001666E8,0x0012D0A8,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x0013875C,0x0016675C,0x001370B4,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x0013876C,0x0016676C,0x0012D0A8,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138778,0x00166778,0x0012D0A8,main-internal,0x00138558:sub_138558,0x00138558,ida-container
0x00138790,0x00166790,0x0012D408,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x001387B4,0x001667B4,0xA002CFB0,external-or-runtime,0x00138784:sub_138784,0x00138784,ida-container
0x001387E4,0x001667E4,0x0012D0A8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
